City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
407,Chernyshevskiy,RU,63.01,112.47,53.76,79,0,2.35,clear sky
408,Mangai,CD,-4.05,19.53,81.57,42,51,1.79,broken clouds
409,Kumluca,TR,36.37,30.29,83.46,58,36,1.7,scattered clouds
410,Churapcha,RU,62.0,132.43,55.72,67,100,3.51,overcast clouds
411,Malindi,KE,-3.22,40.12,75.63,78,0,16.31,light rain
412,Brookhaven,US,31.58,-90.44,89.01,74,90,5.82,overcast clouds
413,Ramnagar,IN,29.4,79.12,79.84,76,5,3.49,clear sky
414,Yaroslavskiy,RU,44.17,132.21,68.05,96,100,3.36,overcast clouds
415,San Juan,AR,-31.54,-68.54,67.08,26,0,9.48,clear sky
416,Dingle,PH,11.0,122.67,76.53,82,100,3.74,overcast clouds
417,Richards Bay,ZA,-28.78,32.04,65.88,75,0,16.62,clear sky
418,Codrington,AU,-38.27,141.97,42.37,88,58,9.69,broken clouds
419,Vikulovo,RU,56.82,70.61,69.93,64,73,5.99,broken clouds
420,Kingaroy,AU,-26.53,151.83,35.6,100,0,2.42,clear sky
421,Yenagoa,NG,4.92,6.26,73.35,89,18,4.54,few clouds
422,Toora-Khem,RU,52.47,96.11,52.32,90,100,1.61,light rain
423,Karatau,KZ,43.17,70.47,73.36,37,0,3.04,clear sky
424,Bethel,US,41.37,-73.41,82.99,83,90,10.29,overcast clouds
425,Guaruja,BR,-23.99,-46.26,73.4,69,75,9.17,broken clouds
426,Dorado,PR,18.46,-66.27,89.01,79,75,12.75,broken clouds
427,Hamina,FI,60.57,27.2,59.0,93,90,4.7,overcast clouds
428,Zemetchino,RU,53.5,42.62,55.83,83,78,1.52,broken clouds
429,Altay,CN,47.87,88.12,62.26,47,0,9.24,clear sky
430,Bathsheba,BB,13.22,-59.52,87.8,70,40,13.87,scattered clouds
431,Storsteinnes,NO,69.24,19.23,64.4,55,20,11.41,few clouds
432,Miranda,CO,3.25,-76.23,91.4,31,20,3.36,few clouds
433,Olafsvik,IS,64.89,-23.71,47.41,87,64,19.24,broken clouds
434,Farah,AF,32.5,62.5,71.71,21,0,6.26,clear sky
435,Bay Saint Louis,US,30.31,-89.33,91.4,59,75,5.61,broken clouds
436,Monchegorsk,RU,67.94,32.87,50.05,80,100,2.55,overcast clouds
437,Apastovo,RU,55.2,48.51,59.0,82,75,6.71,light intensity shower rain
438,Pacific Grove,US,36.62,-121.92,77.0,68,40,8.05,scattered clouds
439,Shakiso,ET,5.75,38.92,56.48,76,69,1.5,broken clouds
440,Kysyl-Syr,RU,63.9,122.76,53.91,67,0,3.36,clear sky
441,Morant Bay,JM,17.88,-76.41,87.8,70,40,19.46,scattered clouds
442,Umm Kaddadah,SD,13.6,26.69,79.38,64,100,14.5,overcast clouds
443,Saint-Joseph,RE,-21.37,55.62,68.0,60,90,9.17,overcast clouds
444,Allahganj,IN,27.55,79.68,89.67,60,20,4.21,few clouds
445,Caucaia,BR,-3.74,-38.65,84.2,62,20,14.99,few clouds
446,Half Moon Bay,US,37.46,-122.43,75.0,87,90,8.05,overcast clouds
447,Teutonia,BR,-29.45,-51.81,79.0,68,100,0.6,overcast clouds
448,Zelenogorskiy,RU,55.03,87.0,60.8,93,0,8.95,clear sky
449,Namibe,AO,-15.2,12.15,66.87,83,0,6.76,clear sky
450,Lucapa,AO,-8.42,20.74,74.46,35,100,4.59,overcast clouds
451,Talcahuano,CL,-36.72,-73.12,60.8,77,20,3.36,few clouds
